"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","30315","GA","""Atlanta-Sandy Springs-Roswell, GA""",4247,9,15.1898734177215,73.5,8.01324503311258,1.66023166023166
"Zip","30274","GA","""Atlanta-Sandy Springs-Roswell, GA""",4300,9,10.0917431192661,94,6.29139072847682,1.66023166023166
"Zip","30308","GA","""Atlanta-Sandy Springs-Roswell, GA""",4313,9,15.1351351351351,62,4.90066225165563,1.66023166023166
"Zip","30068","GA","""Atlanta-Sandy Springs-Roswell, GA""",4320,9,19.344262295082,62.5,8.21192052980132,1.66023166023166
"Zip","30030","GA","""Atlanta-Sandy Springs-Roswell, GA""",4338,9,16.9014084507042,50,2.8476821192053,1.66023166023166
"Zip","30312","GA","""Atlanta-Sandy Springs-Roswell, GA""",4406,9,11.1801242236025,52.5,0.596026490066225,1.66023166023166
"Zip","30078","GA","""Atlanta-Sandy Springs-Roswell, GA""",4440,9,16.044776119403,58,4.37086092715232,1.66023166023166
"Zip","30310","GA","""Atlanta-Sandy Springs-Roswell, GA""",4468,9,15.2,62.5,5.6953642384106,1.66023166023166
"Zip","30265","GA","""Atlanta-Sandy Springs-Roswell, GA""",4478,9,13.4210526315789,59,2.58278145695364,1.66023166023166
"Zip","30005","GA","""Atlanta-Sandy Springs-Roswell, GA""",4577,9,21.3114754098361,61,8.27814569536424,1.66023166023166
"Zip","30215","GA","""Atlanta-Sandy Springs-Roswell, GA""",4623,9,18.1818181818182,79,9.5364238410596,1.66023166023166
"Zip","30214","GA","""Atlanta-Sandy Springs-Roswell, GA""",4713,9,14.6067415730337,59,3.50993377483444,1.66023166023166
"Zip","30306","GA","""Atlanta-Sandy Springs-Roswell, GA""",4755,9,23.5849056603774,57,7.88079470198675,1.66023166023166
"Zip","30094","GA","""Atlanta-Sandy Springs-Roswell, GA""",4935,9,12.0743034055728,90,7.6158940397351,1.66023166023166
"Zip","30340","GA","""Atlanta-Sandy Springs-Roswell, GA""",5048,9,13.2075471698113,47.5,0.794701986754967,1.66023166023166
"Zip","30045","GA","""Atlanta-Sandy Springs-Roswell, GA""",5050,9,9.67741935483871,59,1.25827814569536,1.66023166023166
"Zip","30013","GA","""Atlanta-Sandy Springs-Roswell, GA""",5071,9,14.6153846153846,99,9.27152317880795,1.66023166023166
