"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"Warrenville","IL","Chicago","Du Page",3392,1686,-0.00118483412322275,-0.00354609929078014,0.000593471810089021,4131
2017-09-30,"Tuttle","OK","Oklahoma City","Grady",3393,1246,0.000803212851405623,0.0040290088638195,-0.0165745856353591,4829
2017-09-30,"Beckley","WV","Beckley","Raleigh",3394,764,-0.00779220779220779,-0.0141935483870968,0.0408719346049046,8456
2017-09-30,"Rochester","MI","Detroit","Oakland",3395,2377,0.0012636899747262,0.012350936967632,-0.0226151315789474,3183
2017-09-30,"Southeast","NY","New York","Putnam",3396,2307,-0.00173085244482908,-0.00902061855670103,0.00610553859572612,4273
2017-09-30,"Forest Acres","SC","Columbia","Richland",3397,1255,0.0023961661341853,0,0.0145513338722716,4255
2017-09-30,"Saint James","NY","New York","Suffolk",3398,2711,-0.00550256786500367,-0.0156136528685548,-0.0905736330090574,4343
2017-09-30,"Woodhaven","MI","Detroit","Wayne",3399,1206,0.00667779632721202,0.00249376558603491,0.0229007633587786,4386
2017-09-30,"Chester Springs","PA","Philadelphia","Chester",3400,2554,0.00829056454796684,0.0147000397298371,0.000783699059561128,4709
2017-09-30,"Helena","AL","Birmingham","Shelby",3401,1336,0.00526711813393529,0.0182926829268293,-0.00298507462686567,5580
2017-09-30,"Wickliffe","OH","Cleveland","Lake",3402,1102,-0.004516711833785,-0.0116591928251121,-0.00899280575539568,5003
2017-09-30,"Seagoville","TX","Dallas-Fort Worth","Dallas",3403,1290,0.0015527950310559,0.00233100233100233,0.0303514376996805,3481
2017-09-30,"Spring Creek","NV","Elko","Elko",3404,1475,0.0243055555555556,0.0758570386579139,0.0813782991202346,3351
2017-09-30,"Adairsville","GA","Atlanta","Bartow",3405,1051,0.01252408477842,0.021379980563654,0.051,5418
2017-09-30,"Hanover","MA","Boston","Plymouth",3406,2461,0.0119243421052632,0.0630669546436285,0.0630669546436285,4249
2017-09-30,"Sandston","VA","Richmond","Henrico",3407,1204,0.00922045264040235,0.00922045264040235,-0.0179445350734095,3903
2017-09-30,"Medway","MA","Boston","Norfolk",3408,2440,-0.00286064568859828,-0.00245298446443173,0.0217755443886097,3858
