"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-09-30,50362,"Valhalla","NY","New York","Westchester",9240,580400,0.00484764542936288,0.00484764542936288,0.102374169040836,0.0354161380494353,0.00140640722383178,"2006-06","2006-Q2",587300,-0.0117486804018389,"2006-04"
2017-09-30,25499,"Landers","CA","Riverside","San Bernardino",9241,84300,-0.00118483412322275,0.0255474452554745,0.204285714285714,0.0907544321950682,-0.049596655142584,"2007-05","2007-Q2",146700,-0.425357873210634,"2004-02"
2017-09-30,398697,"Lawrence Township","NJ","Vineland","Cumberland",9242,161400,0.00124069478908189,0.00248447204968944,0.0176544766708701,0.00864608729112293,-0.0129121588751248,"2008-05","2008-Q2",185100,-0.128038897893031,"2005-10"
2017-09-30,54347,"Scribner","NE","Fremont","Dodge",9243,100300,0.0110887096774194,0.024514811031665,0.318002628120894,0.0431553283886601,0.0178930865854179,"2017-09","2017-Q3",100300,0,"2017-09"
2017-09-30,398582,"Union Township","PA","Lebanon","Lebanon",9244,184400,-0.00270416441319632,-0.000542005420054201,0.0388732394366197,0.0122604934599801,0.00208443643743128,"2017-08","2017-Q3",184900,-0.00270416441319632,"2017-06"
2017-09-30,49393,"Fountain","FL","Panama City","Bay",9245,93500,0.00971922246220302,0.016304347826087,0.00645855758880517,0.0453601938678212,-0.0167444669139564,"2006-08","2006-Q3",123400,-0.242301458670989,"2004-11"
2017-09-30,50775,"Ash Grove","MO","Springfield","Greene",9246,111800,-0.0035650623885918,-0.00267618198037466,-0.0132391879964696,0.0248235633108598,0.012951912096836,"2009-08","2009-Q3",123100,-0.0917952883834281,"2009-01"
2017-09-30,12413,"Liverpool","NY","Syracuse","Onondaga",9247,125600,0.00159489633173844,0.0048,0.0519262981574539,0.0146338786455844,0.0153056885915321,"2017-09","2017-Q3",125600,0,"2017-09"
2017-09-30,35671,"Jeddo","MI","Detroit","Saint Clair",9248,172000,0.00584795321637427,0.0129564193168433,0.0817610062893082,0.0890046599095635,,"2017-09","2017-Q3",172000,0,"2017-09"
2017-09-30,395602,"Tyrone Township","PA","Harrisburg","Perry",9249,139300,-0.00357653791130186,-0.00571020699500357,0.0707148347425058,0.0227190675462405,,"2017-07","2017-Q3",140200,-0.00641940085592011,"2017-06"
