"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-09-30,268562,"Village 2","CA","Sacramento","Sacramento","Sacramento",3605,418800,0.00528084493518963,0.0128174123337364,0.0983477576711251,0.120697291821057,-0.00832148945432531,"2006-03","2006-Q1",541000,-0.225878003696858,"2004-08"
2017-09-30,273907,"Grier Heights","NC","Charlotte","Mecklenburg","Charlotte",3606,76800,0.0212765957446809,0.0549450549450549,0.00392156862745098,0.0640708967693036,-0.00282033658831726,"2007-01","2007-Q1",82100,-0.0645554202192448,"2005-11"
2017-09-30,273955,"Hector Campbell","OR","Portland","Clackamas","Milwaukie",3607,321300,0.00531914893617021,0.0164504903511547,0.0524074680641992,0.125757008933098,0.0263156286391506,"2017-09","2017-Q3",321300,0,"2017-09"
2017-09-30,271048,"Twin Towers","OH","Dayton","Montgomery","Dayton",3608,49400,0.0143737166324435,0.0334728033472803,0.0488322717622081,0.0234222496397196,,"2017-02","2017-Q1",50900,-0.0294695481335953,"2016-12"
2017-09-30,270003,"Heartside","MI","Grand Rapids","Kent","Grand Rapids",3609,216000,0.00232018561484919,0.0131332082551595,-0.0522158841597192,0.0667027150379409,0.0130147158406706,"2016-11","2016-Q4",231900,-0.0685640362225097,"2016-05"
2017-09-30,274549,"Miracle Manor","AZ","Tucson","Pima","Tucson",3610,88100,0.0280046674445741,0.042603550295858,0.112373737373737,0.0741848903997313,-0.0327418392400564,"2007-11","2007-Q4",125200,-0.296325878594249,"2004-11"
2017-09-30,271937,"North Garrison Heights","WA","Portland","Clark","Vancouver",3611,283500,0.00782083185211518,0.0268018833755886,0.08,0.11032151746146,0.0156599528356793,"2017-09","2017-Q3",283500,0,"2017-09"
2017-09-30,25125,"Hillcrest","FL","Miami-Fort Lauderdale","Broward","Hollywood",3612,109200,0.00645161290322581,0.0253521126760563,0.0263157894736842,0.155116063740965,-0.0171329076157404,"2006-06","2006-Q2",160800,-0.32089552238806,"2004-11"
2017-09-30,343865,"Mordecai","NC","Raleigh","Wake","Raleigh",3613,320900,-0.00248678893378924,0.00406758448060075,0.12163579168123,0.075892577646649,0.0321289258983484,"2017-08","2017-Q3",321700,-0.00248678893378924,"2017-07"
2017-09-30,269708,"Holy Cross","LA","New Orleans","Orleans","New Orleans",3614,114500,-0.00607638888888889,0.0123784261715296,-0.0630114566284779,0.0820258522842739,0.0709346425939514,"2016-10","2016-Q4",123700,-0.074373484236055,"2016-03"
2017-09-30,416363,"Twinbrooks","FL","Tampa","Pinellas","Saint Petersburg",3615,82800,0.00852618757612668,0.06426735218509,0.237668161434978,0.135824533931786,,"2017-09","2017-Q3",82800,0,"2017-09"
2017-09-30,396782,"Northwest Harwinton","CT","Torrington","Litchfield","Harwinton",3616,213900,0.00187353629976581,0.0142247510668563,0.0132638559924207,0.00131418833443742,-0.0179214674006456,"2007-05","2007-Q2",272400,-0.214757709251101,"2004-07"
2017-09-30,275038,"Piney Knolls","VA","Richmond","Richmond City","Richmond",3617,119200,0.0161977834612106,0.0511463844797178,0.14946962391514,0.0748182855073625,-0.00353756815336081,"2008-02","2008-Q1",127500,-0.0650980392156863,"2007-02"
2017-09-30,276411,"Lake Shore-Lake Vista","LA","New Orleans","Orleans","New Orleans",3618,491200,-0.00365111561866126,-0.00927793465106898,-0.116546762589928,0.0730933763898731,0.0360824289273758,"2016-10","2016-Q4",560100,-0.123013747545081,"2015-12"
2017-09-30,270499,"Skies West","NM","Albuquerque","Bernalillo","Albuquerque",3619,157600,-0.0100502512562814,-0.0419452887537994,0.0619946091644205,0.0375062086344895,-0.0146159142799839,"2007-09","2007-Q3",182600,-0.136911281489595,"2006-03"
2017-09-30,270033,"Mohican Regent","MI","Detroit","Wayne","Detroit",3620,41700,0.0321782178217822,0.0719794344473008,0.233727810650888,0.0356514131906196,,"2017-09","2017-Q3",41700,0,"2017-09"
2017-09-30,172255,"Clifton Heights","MO","St. Louis","Saint Louis City","Saint Louis",3621,146800,0.00547945205479452,0.0301754385964912,0.114654517843584,0.0607698776858134,0.00605517941322864,"2007-04","2007-Q2",151000,-0.0278145695364238,"2007-01"
2017-09-30,35921,"Pascoag","RI","Providence","Providence","Burrillville",3622,233000,0.00647948164146868,0.015693112467306,0.0812064965197216,0.0744684647126788,-0.00533369940046724,"2006-04","2006-Q2",262500,-0.112380952380952,"2004-08"
2017-09-30,268185,"Golf Course Terrace","CA","Sacramento","Sacramento","Sacramento",3623,249700,0.00281124497991968,0.0138043036946813,0.0730554361839278,0.165714263933113,-0.00272211380051912,"2005-12","2005-Q4",301300,-0.171257882509127,"2004-11"
2017-09-30,241316,"Arlington Forest","VA","Washington","Arlington","Arlington",3624,703700,0.00256446787291637,0.00831064622438745,0.0142692418564428,0.0254515738147381,0.0182114301832064,"2017-02","2017-Q1",710200,-0.00915235145029569,"2017-01"
2017-09-30,275229,"Rolling Acres","AL","Mobile","Mobile","Mobile",3625,146300,0.000683994528043776,0.000683994528043776,0.0202231520223152,0.0178710203818204,-0.0135589737334522,"2007-12","2007-Q4",169400,-0.136363636363636,"2005-08"
2017-09-30,403515,"Rosedale","CO","Denver","Denver","Denver",3626,482300,0.00166147455867082,0.00688935281837161,0.0708259325044405,0.110094320795444,0.054016088970571,"2017-09","2017-Q3",482300,0,"2017-09"
2017-09-30,268585,"West Floral Park","CA","Los Angeles-Long Beach-Anaheim","Orange","Santa Ana",3627,746300,0.00660911788508228,0.0302319160684705,0.0803416328894036,0.0732883885215934,0.00492797438078796,"2006-06","2006-Q2",781700,-0.0452859153127798,"2005-11"
2017-09-30,273785,"Freedom Park","NC","Charlotte","Mecklenburg","Charlotte",3628,567500,0.00620567375886525,0.0249232436337367,0.132282521947326,0.0954206947117373,0.0330425282749638,"2017-09","2017-Q3",567500,0,"2017-09"
2017-09-30,269174,"Sailboat Bend","FL","Miami-Fort Lauderdale","Broward","Fort Lauderdale",3629,309600,0.00259067357512953,-0.0124401913875598,0.0107737512242899,0.0761547602970438,-0.0211528417246871,"2007-02","2007-Q1",442200,-0.299864314789688,"2005-01"
2017-09-30,274882,"Old Fort Lowell","AZ","Tucson","Pima","Tucson",3630,233200,-0.00554371002132196,-0.0189314261674379,0.00996102208748376,0.0400796718715979,-0.020749129153429,"2006-08","2006-Q3",302100,-0.228070175438596,"2005-02"
2017-09-30,121800,"Truxton Circle","DC","Washington","District of Columbia","Washington",3631,682500,-0.000878348704435661,-0.00669480424974531,0.0212479425407751,0.104721437181768,0.0496487546303102,"2017-03","2017-Q1",701400,-0.0269461077844311,"2017-01"
2017-09-30,275992,"West Slope","OR","Portland","Washington","Beaverton",3632,541200,-0.00606060606060606,-0.0199203187250996,0.0494473531122746,0.104334077456757,0.0276270257643236,"2017-06","2017-Q2",552200,-0.0199203187250996,"2017-02"
2017-09-30,203392,"Sayler Park","OH","Cincinnati","Hamilton","Cincinnati",3633,112000,0.00448430493273543,0.0191082802547771,0.0284664830119376,0.0396745673201337,0.00457744833884743,"2006-12","2006-Q4",116100,-0.0353143841515935,"2005-09"
2017-09-30,274908,"Olde Towne","OH","Toledo","Lucas","Toledo",3634,69200,0.0206489675516224,0.0359281437125748,0.0328358208955224,0.0567916136692463,,"2017-01","2017-Q1",71600,-0.0335195530726257,"2016-11"
2017-09-30,246149,"Oceana","VA","Virginia Beach","Virginia Beach City","Virginia Beach",3635,184900,0.0032555615843733,0.00598476605005441,0.0065323897659227,0.0255335231040479,-0.00344907230039759,"2008-03","2008-Q1",192500,-0.0394805194805195,"2007-04"
2017-09-30,417092,"Crystal Ranch","CA","Bakersfield","Kern","Bakersfield",3636,265500,0.00264350453172205,-0.00150432493418578,0.0133587786259542,0.0661948051086194,-0.0155983630462426,"2006-04","2006-Q2",387000,-0.313953488372093,"2004-09"
2017-09-30,273328,"Columbia","WA","Bellingham","Whatcom","Bellingham",3637,364900,0.00440407376823562,0.0170011148272018,0.128324056895485,0.0922754052305721,0.0294401953436909,"2017-09","2017-Q3",364900,0,"2017-09"
2017-09-30,269908,"SBIC","MD","Baltimore","Baltimore City","Baltimore",3638,294600,0.0106346483704974,0.0207900207900208,0.0677781805001812,0.0444721859246413,0.0153795008081921,"2017-09","2017-Q3",294600,0,"2017-09"
